Apple Id Number,Apple Music Subscription,Artist Name,Build Version,Content Name,Content Provider,Content Specific Type,Device Identifier,End Position In Milliseconds,End Reason Type,Event End Timestamp,Event Reason Hint Type,Event Received Timestamp,Event Start Timestamp,Event Type,Feature Name,Genre,Item Type,Media Duration In Milliseconds,Media Type,Metrics Bucket Id,Metrics Client Id,Milliseconds Since Play,Offline,Original Title,Play Duration Milliseconds,Provided Audio Bit Depth,Provided Audio Channel,Provided Audio Sample Rate,Provided Bit Rate,Provided Codec,Provided Playback Format,Source Type,Start Position In Milliseconds,Store Country Name,Targeted Audio Bit Depth,Targeted Audio Channel,Targeted Audio Sample Rate,Targeted Bit Rate,Targeted Codec,Targeted Playback Format,User’s Audio Quality,User’s Playback Format,UTC Offset In Seconds
1760558098,True,EXID,,Ah Yeah,Sony Music,Song,9801A7974F13,0,TRACK_SKIPPED_BACKWARDS,2016-06-27T04:04:29.298Z,NOT_SPECIFIED,2016-06-27T04:19:35.298Z,2016-06-27T04:04:29.298Z,PLAY_END,new,K-Pop,ITUNES_STORE_CONTENT,199642.0,,786,3z2BmTiDzGbOz5FMzAMgz1EwEHJ1EP,906000,False,,0,,,,,,,,0,Vietnam,,,,,,,,,32400.0
1760558098,True,EXID,,Ah Yeah,Sony Music,Song,B8E8564A3846,120980,PLAYBACK_MANUALLY_PAUSED,2016-03-16T09:15:11.022Z,,2016-03-16T09:16:01.375Z,2016-03-16T09:13:10.042Z,,new,K-Pop,ITUNES_STORE_CONTENT,199000.0,,4540,3z3Ur2GCz3x2z4j5z9uNz1HwWVFW1Q,50353,False,,120980,,,,,,,,0,Vietnam,,,,,,,,,25200.0
1760558098,True,Maroon 5,,New Love,Universal Music International,Song,E93119BA.289246C7.23C72C23.1825DFE5.62892B03.EA3026B7.EAE7D8C0,196177,NATURAL_END_OF_TRACK,2015-07-06T04:09:03.451Z,,2015-07-06T04:12:03.408Z,2015-07-06T04:05:47.274Z,,new,Pop,ITUNES_STORE_CONTENT,196611.0,,9402,3z2JJH8VzB1lz4dUzAV0z13vBW37RY,179957,False,,196177,,,,,,,,0,Vietnam,,,,,,,,,25200.0
1760558098,True,,,,,,A82066326AAE,1765,NOT_APPLICABLE,2015-08-02T09:21:12.766Z,,2015-08-02T09:36:25.766Z,2015-08-02T09:21:11.001Z,,my-music,,AGGREGATE_NON_CATALOG_PLAY_TIME,1765.0,,9251,3z49ANXgzAGXz4v2zBrbz11CIJV2o7,913000,False,,1765,,,,,,,,0,Vietnam,,,,,,,,,25200.0
1760558098,True,Charlie Puth,,Up All Night,The Warner Music Group,Song,B8E8564A3846,5290,FAILED_TO_LOAD,2016-02-06T10:35:37.804Z,,2016-02-06T10:50:25.804Z,2016-02-06T10:35:32.514Z,,new,Pop,ITUNES_STORE_CONTENT,190108.0,,4540,3z3Ur2GCz3x2z4j5z9uNz1HwWVFW1Q,888000,False,,5290,,,,,,,,0,Vietnam,,,,,,,,,25200.0
1760558098,True,Coldplay,,Viva la Vida,The Warner Music Group,Song,eaa6a811094ee66b82f0968fc62c206790ed7575,0,MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM,2016-07-16T07:20:16.350Z,NOT_SPECIFIED,2016-07-16T07:20:16.595Z,2016-07-16T07:20:16.350Z,PLAY_END,,Alternative,ITUNES_STORE_CONTENT,241000.0,AUDIO,5713,3z2hbdxOzGyXz5J4zCoIzBtWyNsnk,245,False,,0,,,,,,,ORIGINATING_DEVICE,0,Vietnam,,,,,,,,,32400.0
1760558098,True,Elvis Presley,,Too Much,Sony Music,Song,9801A7974F13,155130,NATURAL_END_OF_TRACK,2016-08-04T16:06:21.533Z,NOT_SPECIFIED,2016-08-04T16:08:56.674Z,2016-08-04T16:03:46.403Z,PLAY_END,for-you,Rock,ITUNES_STORE_CONTENT,155533.0,,786,3z2BmTiDzGbOz5FMzAMgz1EwEHJ1EP,155141,False,,155130,,,,,,,,0,Vietnam,,,,,,,,,32400.0
1760558098,True,Adam Levine,,Lost Stars,Universal Music International,Song,9801A7974F13,7116,PLAYBACK_MANUALLY_PAUSED,2016-06-27T12:41:30.204Z,NOT_SPECIFIED,2016-06-27T12:41:30.204Z,2016-06-27T12:41:23.088Z,PLAY_END,playlists,Pop,ITUNES_STORE_CONTENT,267964.0,,786,3z2BmTiDzGbOz5FMzAMgz1EwEHJ1EP,0,False,,7116,,,,,,,,0,Vietnam,,,,,,,,,32400.0
1760558098,True,David Bowie,,Space Oddity (2009 Remastered Version),The Warner Music Group,Song,B8E8564A3846,50175,TRACK_SKIPPED_FORWARDS,2016-03-31T06:45:47.127Z,,2016-03-31T06:49:46.082Z,2016-03-31T06:44:56.952Z,,for-you,Pop,ITUNES_STORE_CONTENT,317026.0,,4540,3z3Ur2GCz3x2z4j5z9uNz1HwWVFW1Q,238955,False,,50175,,,,,,,,0,Vietnam,,,,,,,,,25200.0
1760558098,True,Calvin Harris,,Blame (feat. John Newman),Sony Music,Song,B8E8564A3846,0,MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM,2016-03-31T06:34:46.795Z,,2016-03-31T06:57:23.795Z,2016-03-31T06:34:46.795Z,,for-you,Dance,ITUNES_STORE_CONTENT,260000.0,,4540,3z3Ur2GCz3x2z4j5z9uNz1HwWVFW1Q,1357000,False,,0,,,,,,,,0,Vietnam,,,,,,,,,25200.0
1760558098,True,The Goo Goo Dolls,,Iris,The Warner Music Group,Song,9801A7974F13,0,SCRUB_END,2016-07-04T13:28:52.618Z,NOT_SPECIFIED,2016-07-04T13:43:40.408Z,2016-07-04T13:28:52.618Z,PLAY_END,for-you,Pop,ITUNES_STORE_CONTENT,289567.0,,786,3z2BmTiDzGbOz5FMzAMgz1EwEHJ1EP,887790,False,,0,,,,,,,,0,Vietnam,,,,,,,,,32400.0
1760558098,True,Lindsay Lohan,,Rumors,Universal Music International,Song,B8E8564A3846,0,MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM,2016-02-04T05:00:04.418Z,,2016-02-04T05:05:40.432Z,2016-02-04T05:00:04.418Z,,for-you,Pop,ITUNES_STORE_CONTENT,196000.0,,4540,3z3Ur2GCz3x2z4j5z9uNz1HwWVFW1Q,336014,False,,0,,,,,,,,0,Vietnam,,,,,,,,,25200.0
1760558098,True,Natalie Merchant,,Jealousy,The Warner Music Group,Song,eaa6a811094ee66b82f0968fc62c206790ed7575,82000,SCRUB_END,2016-06-22T06:50:24.461Z,NOT_SPECIFIED,2016-06-22T06:51:20.438Z,2016-06-22T06:49:04.461Z,PLAY_END,for_you:none / for-you,Rock,ITUNES_STORE_CONTENT,161000.0,AUDIO,5713,3z2hbdxOzGyXz5J4zCoIzBtWyNsnk,55977,False,,80000,,,,,,,ORIGINATING_DEVICE,2000,Vietnam,,,,,,,,,32400.0
1760558098,True,Krystian Zimerman,,"Ballade No. 1 in G Minor, Op. 23",Universal Music International,Song,9801A7974F13,574826,NATURAL_END_OF_TRACK,2016-07-26T11:19:08.146Z,NOT_SPECIFIED,2016-07-26T11:19:08.146Z,2016-07-26T11:09:33.320Z,PLAY_END,for-you,Classical,ITUNES_STORE_CONTENT,575440.0,,786,3z2BmTiDzGbOz5FMzAMgz1EwEHJ1EP,0,False,,574826,,,,,,,,0,Vietnam,,,,,,,,,32400.0
1760558098,True,John Lennon,,Jealous Guy,Universal Music International,Song,eaa6a811094ee66b82f0968fc62c206790ed7575,8000,SCRUB_END,2016-06-22T06:50:01.735Z,NOT_SPECIFIED,2016-06-22T06:51:20.438Z,2016-06-22T06:49:55.735Z,PLAY_END,for_you:none / for-you,Rock,ITUNES_STORE_CONTENT,255000.0,AUDIO,5713,3z2hbdxOzGyXz5J4zCoIzBtWyNsnk,78703,False,,6000,,,,,,,ORIGINATING_DEVICE,2000,Vietnam,,,,,,,,,32400.0
